Name	PrecentFrequency	ApproximateNumber	Rank
SMITH	1.006	2,501,922	1
JOHNSON	0.81	2,014,470	2
WILLIAMS	0.699	1,738,413	3
JONES	0.621	1,544,427	4
BROWN	0.621	1,544,427	5
DAVIS	0.48	1,193,760	6
MILLER	0.424	1,054,488	7
WILSON	0.339	843,093	8
MOORE	0.312	775,944	9
TAYLOR	0.311	773,457	10
ANDERSON	0.311	773,457	11
THOMAS	0.311	773,457	12
JACKSON	0.31	770,970	13
WHITE	0.279	693,873	14
HARRIS	0.275	683,925	15
MARTIN	0.273	678,951	16
THOMPSON	0.269	669,003	17
GARCIA	0.254	631,698	18
MARTINEZ	0.234	581,958	19
ROBINSON	0.233	579,471	20
CLARK	0.231	574,497	21
RODRIGUEZ	0.229	569,523	22
LEWIS	0.226	562,062	23
LEE	0.22	547,140	24
WALKER	0.219	544,653	25
HALL	0.2	497,400	26
ALLEN	0.199	494,913	27
YOUNG	0.193	479,991	28
HERNANDEZ	0.192	477,504	29
KING	0.19	472,530	30
WRIGHT	0.189	470,043	31
LOPEZ	0.187	465,069	32
HILL	0.187	465,069	33
SCOTT	0.185	460,095	34
GREEN	0.183	455,121	35
ADAMS	0.174	432,738	36
BAKER	0.171	425,277	37
GONZALEZ	0.166	412,842	38
NELSON	0.162	402,894	39
CARTER	0.162	402,894	40
MITCHELL	0.16	397,920	41
PEREZ	0.155	385,485	42
ROBERTS	0.153	380,511	43
TURNER	0.152	378,024	44
PHILLIPS	0.149	370,563	45
CAMPBELL	0.149	370,563	46
PARKER	0.146	363,102	47
EVANS	0.141	350,667	48
EDWARDS	0.137	340,719	49
COLLINS	0.134	333,258	50
STEWART	0.133	330,771	51
SANCHEZ	0.13	323,310	52
MORRIS	0.125	310,875	53
ROGERS	0.123	305,901	54
REED	0.122	303,414	55
COOK	0.12	298,440	56
MORGAN	0.118	293,466	57
BELL	0.117	290,979	58
MURPHY	0.117	290,979	59
BAILEY	0.115	286,005	60
RIVERA	0.113	281,031	61
COOPER	0.113	281,031	62
RICHARDSON	0.112	278,544	63
COX	0.11	273,570	64
HOWARD	0.11	273,570	65
WARD	0.108	268,596	66
TORRES	0.108	268,596	67
PETERSON	0.107	266,109	68
GRAY	0.106	263,622	69
RAMIREZ	0.105	261,135	70
JAMES	0.105	261,135	71
WATSON	0.103	256,161	72
BROOKS	0.103	256,161	73
KELLY	0.102	253,674	74
SANDERS	0.1	248,700	75
PRICE	0.099	246,213	76
BENNETT	0.099	246,213	77
WOOD	0.098	243,726	78
BARNES	0.097	241,239	79
ROSS	0.096	238,752	80
HENDERSON	0.095	236,265	81
COLEMAN	0.095	236,265	82
JENKINS	0.095	236,265	83
PERRY	0.094	233,778	84
POWELL	0.093	231,291	85
LONG	0.092	228,804	86
PATTERSON	0.092	228,804	87
HUGHES	0.092	228,804	88
FLORES	0.092	228,804	89
WASHINGTON	0.092	228,804	90
BUTLER	0.091	226,317	91
SIMMONS	0.091	226,317	92
FOSTER	0.091	226,317	93
GONZALES	0.087	216,369	94
BRYANT	0.087	216,369	95
ALEXANDER	0.085	211,395	96
RUSSELL	0.085	211,395	97
GRIFFIN	0.084	208,908	98
DIAZ	0.084	208,908	99
HAYES	0.083	206,421	100
MYERS	0.083	206,421	101
FORD	0.082	203,934	102
HAMILTON	0.082	203,934	103
GRAHAM	0.082	203,934	104
SULLIVAN	0.081	201,447	105
WALLACE	0.081	201,447	106
WOODS	0.08	198,960	107
COLE	0.08	198,960	108
WEST	0.08	198,960	109
JORDAN	0.078	193,986	110
OWENS	0.078	193,986	111
REYNOLDS	0.078	193,986	112
FISHER	0.077	191,499	113
ELLIS	0.077	191,499	114
HARRISON	0.076	189,012	115
GIBSON	0.075	186,525	116
MCDONALD	0.075	186,525	117
CRUZ	0.075	186,525	118
MARSHALL	0.075	186,525	119
ORTIZ	0.075	186,525	120
GOMEZ	0.075	186,525	121
MURRAY	0.074	184,038	122
FREEMAN	0.074	184,038	123
WELLS	0.073	181,551	124
WEBB	0.072	179,064	125
SIMPSON	0.07	174,090	126
STEVENS	0.07	174,090	127
TUCKER	0.07	174,090	128
PORTER	0.069	171,603	129
HUNTER	0.069	171,603	130
HICKS	0.069	171,603	131
CRAWFORD	0.068	169,116	132
HENRY	0.068	169,116	133
BOYD	0.068	169,116	134
MASON	0.068	169,116	135
MORALES	0.067	166,629	136
KENNEDY	0.067	166,629	137
WARREN	0.067	166,629	138
DIXON	0.066	164,142	139
RAMOS	0.066	164,142	140
REYES	0.066	164,142	141
BURNS	0.065	161,655	142
GORDON	0.065	161,655	143
SHAW	0.065	161,655	144
HOLMES	0.065	161,655	145
RICE	0.064	159,168	146
ROBERTSON	0.064	159,168	147
HUNT	0.063	156,681	148
BLACK	0.063	156,681	149
DANIELS	0.062	154,194	150
PALMER	0.062	154,194	151
MILLS	0.061	151,707	152
NICHOLS	0.06	149,220	153
GRANT	0.06	149,220	154
KNIGHT	0.06	149,220	155
FERGUSON	0.059	146,733	156
ROSE	0.059	146,733	157
STONE	0.059	146,733	158
HAWKINS	0.059	146,733	159
DUNN	0.058	144,246	160
PERKINS	0.058	144,246	161
HUDSON	0.058	144,246	162
SPENCER	0.057	141,759	163
GARDNER	0.057	141,759	164
STEPHENS	0.057	141,759	165
PAYNE	0.057	141,759	166
PIERCE	0.056	139,272	167
BERRY	0.056	139,272	168
MATTHEWS	0.056	139,272	169
ARNOLD	0.056	139,272	170
WAGNER	0.055	136,785	171
WILLIS	0.055	136,785	172
RAY	0.055	136,785	173
WATKINS	0.055	136,785	174
OLSON	0.055	136,785	175
CARROLL	0.055	136,785	176
DUNCAN	0.055	136,785	177
SNYDER	0.055	136,785	178
HART	0.054	134,298	179
CUNNINGHAM	0.054	134,298	180
BRADLEY	0.054	134,298	181
LANE	0.054	134,298	182
ANDREWS	0.054	134,298	183
RUIZ	0.054	134,298	184
HARPER	0.054	134,298	185
FOX	0.053	131,811	186
RILEY	0.053	131,811	187
ARMSTRONG	0.053	131,811	188
CARPENTER	0.053	131,811	189
WEAVER	0.053	131,811	190
GREENE	0.053	131,811	191
LAWRENCE	0.052	129,324	192
ELLIOTT	0.052	129,324	193
CHAVEZ	0.052	129,324	194
SIMS	0.052	129,324	195
AUSTIN	0.052	129,324	196
PETERS	0.052	129,324	197
KELLEY	0.052	129,324	198
FRANKLIN	0.051	126,837	199
LAWSON	0.051	126,837	200
FIELDS	0.051	126,837	201
GUTIERREZ	0.051	126,837	202
RYAN	0.051	126,837	203
SCHMIDT	0.051	126,837	204
CARR	0.051	126,837	205
VASQUEZ	0.051	126,837	206
CASTILLO	0.051	126,837	207
WHEELER	0.051	126,837	208
CHAPMAN	0.05	124,350	209
OLIVER	0.05	124,350	210
MONTGOMERY	0.049	121,863	211
RICHARDS	0.049	121,863	212
WILLIAMSON	0.049	121,863	213
JOHNSTON	0.049	121,863	214
BANKS	0.048	119,376	215
MEYER	0.048	119,376	216
BISHOP	0.048	119,376	217
MCCOY	0.048	119,376	218
HOWELL	0.048	119,376	219
ALVAREZ	0.048	119,376	220
MORRISON	0.048	119,376	221
HANSEN	0.047	116,889	222
FERNANDEZ	0.047	116,889	223
GARZA	0.047	116,889	224
HARVEY	0.047	116,889	225
LITTLE	0.046	114,402	226
BURTON	0.046	114,402	227
STANLEY	0.046	114,402	228
NGUYEN	0.046	114,402	229
GEORGE	0.046	114,402	230
JACOBS	0.046	114,402	231
REID	0.046	114,402	232
KIM	0.045	111,915	233
FULLER	0.045	111,915	234
LYNCH	0.045	111,915	235
DEAN	0.045	111,915	236
GILBERT	0.045	111,915	237
GARRETT	0.045	111,915	238
ROMERO	0.045	111,915	239
WELCH	0.044	109,428	240
LARSON	0.044	109,428	241
FRAZIER	0.044	109,428	242
BURKE	0.044	109,428	243
HANSON	0.043	106,941	244
DAY	0.043	106,941	245
MENDOZA	0.043	106,941	246
MORENO	0.043	106,941	247
BOWMAN	0.043	106,941	248
MEDINA	0.042	104,454	249
FOWLER	0.042	104,454	250
BREWER	0.042	104,454	251
HOFFMAN	0.042	104,454	252
CARLSON	0.042	104,454	253
SILVA	0.042	104,454	254
PEARSON	0.042	104,454	255
HOLLAND	0.042	104,454	256
DOUGLAS	0.041	101,967	257
FLEMING	0.041	101,967	258
JENSEN	0.041	101,967	259
VARGAS	0.041	101,967	260
BYRD	0.041	101,967	261
DAVIDSON	0.041	101,967	262
HOPKINS	0.041	101,967	263
MAY	0.04	99,480	264
TERRY	0.04	99,480	265
HERRERA	0.04	99,480	266
WADE	0.04	99,480	267
SOTO	0.04	99,480	268
WALTERS	0.04	99,480	269
CURTIS	0.04	99,480	270
NEAL	0.039	96,993	271
CALDWELL	0.039	96,993	272
LOWE	0.039	96,993	273
JENNINGS	0.039	96,993	274
BARNETT	0.039	96,993	275
GRAVES	0.039	96,993	276
JIMENEZ	0.039	96,993	277
HORTON	0.039	96,993	278
SHELTON	0.039	96,993	279
BARRETT	0.039	96,993	280
OBRIEN	0.039	96,993	281
CASTRO	0.039	96,993	282
SUTTON	0.038	94,506	283
GREGORY	0.038	94,506	284
MCKINNEY	0.038	94,506	285
LUCAS	0.038	94,506	286
MILES	0.038	94,506	287
CRAIG	0.038	94,506	288
RODRIQUEZ	0.037	92,019	289
CHAMBERS	0.037	92,019	290
HOLT	0.037	92,019	291
